DataAut,Numero Autorizzazione,Soggetto,Piva,Via Autorizzazione,Civico Autorizzazione,Oggetto,Dettaglio Oggetto,Area,Durata,Data Inizio,Data Fine
06/07/16,191469/2016,MEDEA SRL ,2174900122,Via CANONICA LUIGI,47,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",44.25,90,12/09/16,10/12/16
06/07/16,191469/2016,MEDEA SRL ,2174900122,Via CANONICA LUIGI,47,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,12.8,90,12/09/16,10/12/16
06/07/16,263326/2016,CONDOMINIO VIA MUZIO SCEVOLA 4 ,80321720155,Via MUZIO SCEVOLA,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,17.81,45,19/09/16,02/11/16
06/07/16,263326/2016,CONDOMINIO VIA MUZIO SCEVOLA 4 ,80321720155,Via MUZIO SCEVOLA,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,8.515,45,19/09/16,02/11/16
07/07/16,147604/2016,CONDOMINIO VIA DELLE FORZE ARMATE 348 ,95560900151,Via DELLE FORZE ARMATE,348,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,13.325,60,25/08/16,23/10/16
07/07/16,147604/2016,CONDOMINIO VIA DELLE FORZE ARMATE 348 ,95560900151,Via DELLE FORZE ARMATE,348,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,1.69,60,25/08/16,23/10/16
07/07/16,264112/2016,CONDOMINIO VIA LEPETIT 31 ,5529970963,Via LEPETIT ROBERTO,31,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",24.625,90,06/09/16,04/12/16
07/07/16,264112/2016,CONDOMINIO VIA LEPETIT 31 ,5529970963,Via LEPETIT ROBERTO,31,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,6.45,90,06/09/16,04/12/16
07/07/16,264112/2016,CONDOMINIO VIA LEPETIT 31 ,5529970963,Via LEPETIT ROBERTO,31,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,8.256,90,06/09/16,04/12/16
07/07/16,,SERENISSIMA SRL - AMM.RE MICHELE WALLNER ,5192700960,Via PAULLO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,25,49,13/05/16,30/06/16
08/07/16,168431/2016,HOTEL ARIOSTO SAS DI GESAL SRL & C ,5073320961,Via ARIOSTO LODOVICO,22,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,26,365,14/11/16,13/11/17
08/07/16,168431/2016,HOTEL ARIOSTO SAS DI GESAL SRL & C ,5073320961,Via ARIOSTO LODOVICO,22,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Ponteggio alla base,12.65,365,14/11/16,13/11/17
08/07/16,168431/2016,HOTEL ARIOSTO SAS DI GESAL SRL & C ,5073320961,Via ARIOSTO LODOVICO,22,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,23.4,365,14/11/16,13/11/17
08/07/16,278216/2016,CONDOMINIO VIA PALERMO 18 ,95584550156,Via PALERMO,18,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",31.85,120,,
08/07/16,278216/2016,CONDOMINIO VIA PALERMO 18 ,95584550156,Via PALERMO,18,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,10,120,,
08/07/16,278216/2016,CONDOMINIO VIA PALERMO 18 ,95584550156,Via PALERMO,18,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,11,120,,
08/07/16,284170/2016,CONDOMINIO VIA GOVONE 19 ,95678940156,Via GOVONE GIUSEPPE,19,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,5.76,30,13/06/16,12/07/16
08/07/16,284170/2016,CONDOMINIO VIA GOVONE 19 ,95678940156,Via GOVONE GIUSEPPE,19,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,9,30,13/06/16,12/07/16
08/07/16,289865/2016,CONDOMINIO VIA CIMAROSA DOMENICO 26 ,95700290158,Via CIMAROSA DOMENICO,26,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,15.08,30,26/06/16,25/07/16
08/07/16,289865/2016,CONDOMINIO VIA CIMAROSA DOMENICO 26 ,95700290158,Via CIMAROSA DOMENICO,26,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,2.8,30,26/06/16,25/07/16
12/07/16,296162/2016,CONDOMINIO DI VIA STRESA 8 ,95521080150,Via STRESA,8,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",36.68,40,07/06/16,16/07/16
12/07/16,296162/2016,CONDOMINIO DI VIA STRESA 8 ,95521080150,Via STRESA,8,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,3.24,40,07/06/16,16/07/16
12/07/16,296162/2016,CONDOMINIO DI VIA STRESA 8 ,95521080150,Via STRESA,8,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,23.31,40,07/06/16,16/07/16
12/07/16,296203/2016,CONDOMINIO VIA FARA GUSTAVO 12 ,95504470154,Via FARA GUSTAVO,12,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",35.75,19,12/06/16,30/06/16
12/07/16,296203/2016,CONDOMINIO VIA FARA GUSTAVO 12 ,95504470154,Via FARA GUSTAVO,12,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Piano di lavoro,4.4,19,12/06/16,30/06/16
12/07/16,296203/2016,CONDOMINIO VIA FARA GUSTAVO 12 ,95504470154,Via FARA GUSTAVO,12,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,14.85,19,12/06/16,30/06/16
12/07/16,346746/2016,AGENZIA INTERREGIONALE PER IL FIUME PO ,2297750347,Via MONLUE',0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,"8,294.00",60,11/07/16,08/09/16
12/07/16,,LE MURA SRL - LEG. RAPPR. VIRGINIO BATTANTA ,1866350976,Via MENABREA LUIGI FEDERICO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,27.3,100,,
12/07/16,,MILANO PROCACCINI SRL ,3382160129,Via PROCACCINI GIULIO CESARE,0,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",15.99,730,,
13/07/16,198608/2016,CONDOMINIO VIA MORGAGNI GIOVANNI BATTISTA 36 ,80307360158,Via MORGAGNI GIOVANNI BATTISTA,36,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",41.952,90,05/09/16,03/12/16
13/07/16,198608/2016,CONDOMINIO VIA MORGAGNI GIOVANNI BATTISTA 36 ,80307360158,Via MORGAGNI GIOVANNI BATTISTA,36,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,5.841,90,05/09/16,03/12/16
